id,name,score1,score2
484,Student_484,99,82
485,Student_485,86,82
486,Student_486,50,73
487,Student_487,81,77
488,Student_488,56,93
489,Student_489,55,71
490,Student_490,64,94
491,Student_491,50,92
492,Student_492,98,73
493,Student_493,96,78
494,Student_494,74,86
495,Student_495,65,54
496,Student_496,72,53
497,Student_497,78,51
498,Student_498,65,68
499,Student_499,51,51
500,Student_500,92,93
501,Student_501,94,62
502,Student_502,93,88
503,Student_503,82,89
504,Student_504,64,97
505,Student_505,76,92
506,Student_506,69,71
507,Student_507,82,88
508,Student_508,94,100
509,Student_509,83,90
510,Student_510,100,64
511,Student_511,96,73
512,Student_512,53,63
513,Student_513,94,98
514,Student_514,63,85
515,Student_515,83,99
516,Student_516,52,89
517,Student_517,85,63
518,Student_518,88,74
519,Student_519,89,67
520,Student_520,63,92
521,Student_521,53,66
522,Student_522,65,92
523,Student_523,94,66
524,Student_524,87,74
525,Student_525,91,62
526,Student_526,53,56
527,Student_527,77,58
528,Student_528,88,63
529,Student_529,67,81
530,Student_530,68,68
531,Student_531,56,86
532,Student_532,98,53
533,Student_533,64,88
534,Student_534,63,70
535,Student_535,55,70
536,Student_536,63,63
537,Student_537,53,83
538,Student_538,68,79
539,Student_539,72,74
540,Student_540,85,88
541,Student_541,61,63
542,Student_542,51,59
543,Student_543,68,77
544,Student_544,97,89
545,Student_545,72,52
546,Student_546,53,72
547,Student_547,93,94
548,Student_548,66,85
549,Student_549,75,77
550,Student_550,79,100
551,Student_551,79,62
552,Student_552,58,79
553,Student_553,83,53
554,Student_554,99,57
555,Student_555,80,95
556,Student_556,81,81
557,Student_557,58,51
558,Student_558,91,80
559,Student_559,85,62
560,Student_560,55,79
561,Student_561,52,50
562,Student_562,53,51
563,Student_563,85,69
564,Student_564,73,95
565,Student_565,97,64
566,Student_566,76,97
567,Student_567,88,61
568,Student_568,64,98
569,Student_569,51,100
570,Student_570,100,98
571,Student_571,54,75
572,Student_572,65,83
573,Student_573,50,69
574,Student_574,69,51
575,Student_575,75,63
576,Student_576,67,64
577,Student_577,62,97
578,Student_578,93,65
579,Student_579,92,75
580,Student_580,83,63
581,Student_581,50,72
582,Student_582,77,99
583,Student_583,76,92
584,Student_584,91,57
585,Student_585,92,59
586,Student_586,90,92
587,Student_587,63,57
588,Student_588,51,98
589,Student_589,60,70
590,Student_590,77,75
591,Student_591,77,98
592,Student_592,90,80
593,Student_593,90,62
594,Student_594,87,57
595,Student_595,68,66
596,Student_596,81,75
597,Student_597,77,58
598,Student_598,90,99
599,Student_599,84,82
600,Student_600,97,91
601,Student_601,79,96
602,Student_602,82,75
603,Student_603,57,52
604,Student_604,79,86
605,Student_605,64,97
606,Student_606,67,90
607,Student_607,62,63
608,Student_608,68,87
609,Student_609,79,69
610,Student_610,64,54
611,Student_611,70,93
612,Student_612,55,78
613,Student_613,74,61
614,Student_614,62,70
615,Student_615,66,70
616,Student_616,54,84
617,Student_617,62,96
618,Student_618,65,55
619,Student_619,94,67
620,Student_620,66,64
621,Student_621,91,75
622,Student_622,83,64
623,Student_623,81,87
624,Student_624,86,87
625,Student_625,53,54
626,Student_626,87,69
627,Student_627,67,50
628,Student_628,50,58
629,Student_629,59,71
630,Student_630,64,73
631,Student_631,83,78
632,Student_632,71,69
633,Student_633,71,81
634,Student_634,81,88
635,Student_635,65,99
636,Student_636,70,66
637,Student_637,88,73
638,Student_638,77,54
639,Student_639,96,82
640,Student_640,62,87
641,Student_641,58,53
642,Student_642,80,78
643,Student_643,68,89
644,Student_644,92,78
645,Student_645,98,70
646,Student_646,87,74
647,Student_647,50,98
648,Student_648,77,76
649,Student_649,75,57
650,Student_650,68,56
651,Student_651,58,97
652,Student_652,52,51
653,Student_653,96,93
654,Student_654,54,61
655,Student_655,89,94
656,Student_656,98,97
657,Student_657,53,59
658,Student_658,63,84
659,Student_659,79,51
660,Student_660,53,71
661,Student_661,90,91
662,Student_662,57,92
663,Student_663,53,98
664,Student_664,59,67
665,Student_665,65,90
666,Student_666,66,69
667,Student_667,63,52
668,Student_668,68,73
669,Student_669,69,57
670,Student_670,64,58
671,Student_671,82,57
672,Student_672,68,92
673,Student_673,75,93
674,Student_674,87,64
675,Student_675,67,83
676,Student_676,54,80
677,Student_677,77,73
678,Student_678,70,92
679,Student_679,94,85
680,Student_680,71,88
681,Student_681,93,88
682,Student_682,52,66
683,Student_683,83,53
684,Student_684,52,82
685,Student_685,77,100
686,Student_686,60,95
687,Student_687,77,89
688,Student_688,96,98
689,Student_689,96,87
690,Student_690,54,96
691,Student_691,85,82
692,Student_692,56,98
693,Student_693,76,89
694,Student_694,64,68
695,Student_695,91,76
696,Student_696,97,72
697,Student_697,73,94
698,Student_698,71,71
699,Student_699,88,87
700,Student_700,85,72
701,Student_701,55,82
702,Student_702,74,74
703,Student_703,92,78
704,Student_704,76,75
705,Student_705,90,69
706,Student_706,50,55
707,Student_707,74,58
708,Student_708,87,69
709,Student_709,75,50
710,Student_710,99,82
711,Student_711,57,92
712,Student_712,78,79
713,Student_713,87,73
714,Student_714,93,97
715,Student_715,98,77
716,Student_716,83,92
717,Student_717,65,86
718,Student_718,66,89
719,Student_719,53,54
720,Student_720,60,68
721,Student_721,55,77
722,Student_722,56,64
723,Student_723,57,52
724,Student_724,98,68
725,Student_725,62,97
726,Student_726,86,73
727,Student_727,97,64
728,Student_728,97,59
729,Student_729,78,93
730,Student_730,93,71
731,Student_731,55,67
732,Student_732,80,53
733,Student_733,72,54
734,Student_734,52,85
735,Student_735,53,99
736,Student_736,81,92
737,Student_737,99,68
738,Student_738,89,56
739,Student_739,62,97
740,Student_740,99,80
741,Student_741,69,62
742,Student_742,93,60
743,Student_743,88,52
744,Student_744,56,51
745,Student_745,92,94
746,Student_746,55,73
747,Student_747,99,57
748,Student_748,90,89
749,Student_749,72,73
750,Student_750,90,100
751,Student_751,75,50
752,Student_752,74,66
753,Student_753,81,70
754,Student_754,88,73
755,Student_755,82,52
756,Student_756,88,64
757,Student_757,78,53
758,Student_758,87,50
759,Student_759,83,99
760,Student_760,86,73
761,Student_761,88,76
762,Student_762,66,98
763,Student_763,94,95
764,Student_764,69,59
765,Student_765,51,50
766,Student_766,62,84
767,Student_767,68,94
768,Student_768,59,58
769,Student_769,64,54
770,Student_770,94,89
771,Student_771,53,75
772,Student_772,65,60
773,Student_773,52,87
774,Student_774,60,53
775,Student_775,59,84
776,Student_776,83,59
777,Student_777,92,86
778,Student_778,67,62
779,Student_779,85,85
780,Student_780,51,52
781,Student_781,87,78
782,Student_782,54,52
783,Student_783,75,79
784,Student_784,70,62
785,Student_785,61,77
786,Student_786,72,86
787,Student_787,97,71
788,Student_788,51,82
789,Student_789,89,60
790,Student_790,97,87
791,Student_791,96,91
792,Student_792,92,59
793,Student_793,98,50
794,Student_794,63,62
795,Student_795,64,67
796,Student_796,73,75
797,Student_797,88,68
798,Student_798,98,96
799,Student_799,76,67
800,Student_800,63,69
801,Student_801,78,79
802,Student_802,76,89
803,Student_803,84,77
804,Student_804,96,73
805,Student_805,70,82
806,Student_806,50,89
807,Student_807,62,95
808,Student_808,99,68
809,Student_809,65,78
810,Student_810,85,99
811,Student_811,77,56
812,Student_812,67,51
813,Student_813,59,71
814,Student_814,78,77
815,Student_815,54,82
816,Student_816,89,80
817,Student_817,58,71
818,Student_818,50,69
819,Student_819,100,52
820,Student_820,72,60
821,Student_821,85,93
822,Student_822,81,69
823,Student_823,62,59
824,Student_824,51,74
825,Student_825,96,85
826,Student_826,90,59
827,Student_827,96,100
828,Student_828,95,55
829,Student_829,73,92
830,Student_830,81,63
831,Student_831,68,62
832,Student_832,85,70
833,Student_833,84,94
834,Student_834,87,68
835,Student_835,51,99
836,Student_836,53,74
837,Student_837,61,58
838,Student_838,100,86
839,Student_839,98,98
840,Student_840,70,56
841,Student_841,73,82
842,Student_842,56,53
843,Student_843,69,89
844,Student_844,59,85
845,Student_845,65,59
846,Student_846,57,82
847,Student_847,54,67
848,Student_848,53,71
849,Student_849,52,74
850,Student_850,82,94
851,Student_851,65,51
852,Student_852,86,53
853,Student_853,84,56
854,Student_854,80,78
855,Student_855,91,81
856,Student_856,88,68
857,Student_857,83,69
858,Student_858,99,80
859,Student_859,97,64
860,Student_860,51,65
861,Student_861,83,58
862,Student_862,61,56
863,Student_863,66,98
864,Student_864,59,78
865,Student_865,68,74
866,Student_866,61,58
867,Student_867,99,70
868,Student_868,54,85
869,Student_869,63,80
870,Student_870,69,61
871,Student_871,100,68
872,Student_872,94,80
873,Student_873,97,99
874,Student_874,84,78
875,Student_875,94,84
876,Student_876,65,98
877,Student_877,50,93
878,Student_878,90,71
879,Student_879,51,93
880,Student_880,53,97
881,Student_881,58,75
882,Student_882,91,60
883,Student_883,60,73
884,Student_884,54,85
885,Student_885,87,81
886,Student_886,85,93
887,Student_887,62,61
888,Student_888,94,93
889,Student_889,56,74
890,Student_890,81,55
891,Student_891,68,78
892,Student_892,95,61
893,Student_893,77,59
894,Student_894,61,96
895,Student_895,97,96
896,Student_896,84,74
897,Student_897,98,96
898,Student_898,83,88
899,Student_899,67,54
900,Student_900,82,65
901,Student_901,73,88
902,Student_902,87,63
903,Student_903,58,92
904,Student_904,55,98
905,Student_905,50,92
906,Student_906,87,74
907,Student_907,70,73
908,Student_908,58,54
909,Student_909,95,80
910,Student_910,57,54
911,Student_911,80,61
912,Student_912,53,87
913,Student_913,92,97
914,Student_914,73,91
915,Student_915,56,85
916,Student_916,82,68
917,Student_917,54,74
918,Student_918,51,93
919,Student_919,80,80
920,Student_920,84,74
921,Student_921,70,100
922,Student_922,97,51
923,Student_923,100,83
924,Student_924,57,93
925,Student_925,53,67
926,Student_926,73,96
927,Student_927,62,81
928,Student_928,74,94
929,Student_929,59,71
930,Student_930,71,88
931,Student_931,55,88
932,Student_932,54,74
933,Student_933,89,65
934,Student_934,89,89
935,Student_935,88,78
936,Student_936,88,78
937,Student_937,83,56
938,Student_938,65,68
939,Student_939,65,62
940,Student_940,67,94
941,Student_941,56,58
942,Student_942,81,65
943,Student_943,81,79
944,Student_944,85,65
945,Student_945,97,73
946,Student_946,60,92
947,Student_947,58,92
948,Student_948,91,98
949,Student_949,59,67
950,Student_950,84,64
951,Student_951,54,97
952,Student_952,56,99
953,Student_953,78,56
954,Student_954,63,63
955,Student_955,99,63
956,Student_956,94,75
957,Student_957,68,89
958,Student_958,67,73
959,Student_959,78,80
960,Student_960,96,62
961,Student_961,87,83
962,Student_962,75,85
963,Student_963,96,78
964,Student_964,61,94
965,Student_965,96,80
966,Student_966,67,58
967,Student_967,72,81
968,Student_968,84,62
969,Student_969,91,90
970,Student_970,57,56
971,Student_971,92,85
972,Student_972,92,60
973,Student_973,54,57
974,Student_974,93,87
975,Student_975,79,86
976,Student_976,55,86
977,Student_977,69,97
978,Student_978,73,58
979,Student_979,84,81
980,Student_980,98,88
981,Student_981,95,57
982,Student_982,94,58
983,Student_983,93,59
984,Student_984,67,61
985,Student_985,54,85
986,Student_986,50,99
987,Student_987,89,97
988,Student_988,100,50
989,Student_989,70,75
990,Student_990,98,91
991,Student_991,89,76
992,Student_992,56,60
993,Student_993,57,85
994,Student_994,67,86
995,Student_995,99,72
996,Student_996,64,83
997,Student_997,84,91
998,Student_998,86,96
999,Student_999,92,61
1000,Student_1000,85,72
1001,Student_1001,66,57
1002,Student_1002,97,92
1003,Student_1003,60,74
1004,Student_1004,82,67
1005,Student_1005,82,92
1006,Student_1006,85,83
1007,Student_1007,61,58
1008,Student_1008,55,92
1009,Student_1009,55,68
1010,Student_1010,100,100
1011,Student_1011,81,94
1012,Student_1012,74,65
1013,Student_1013,64,61
1014,Student_1014,73,59
1015,Student_1015,87,87
1016,Student_1016,67,55
1017,Student_1017,75,88
1018,Student_1018,54,73
1019,Student_1019,65,78
1020,Student_1020,58,78
1021,Student_1021,71,92
1022,Student_1022,69,86
1023,Student_1023,89,78
1024,Student_1024,79,97
1025,Student_1025,83,89
1026,Student_1026,95,82
1027,Student_1027,50,67
1028,Student_1028,89,84
1029,Student_1029,50,86
1030,Student_1030,86,63
1031,Student_1031,61,87
1032,Student_1032,94,72
1033,Student_1033,54,81
1034,Student_1034,73,51
1035,Student_1035,74,73
1036,Student_1036,69,83
1037,Student_1037,84,65
1038,Student_1038,51,76
1039,Student_1039,51,71
1040,Student_1040,54,53
1041,Student_1041,63,80
1042,Student_1042,53,100
1043,Student_1043,72,67
1044,Student_1044,69,65
1045,Student_1045,90,77
1046,Student_1046,68,64
1047,Student_1047,89,50
1048,Student_1048,100,73
1049,Student_1049,80,81
1050,Student_1050,94,66
1051,Student_1051,82,96
1052,Student_1052,96,58
1053,Student_1053,71,73
1054,Student_1054,93,77
1055,Student_1055,70,55
1056,Student_1056,83,56
1057,Student_1057,71,95
1058,Student_1058,64,97
1059,Student_1059,97,53
1060,Student_1060,75,51
1061,Student_1061,74,88
1062,Student_1062,68,77
1063,Student_1063,68,65
1064,Student_1064,97,60
1065,Student_1065,90,58
1066,Student_1066,74,66
1067,Student_1067,78,52
1068,Student_1068,93,91
1069,Student_1069,70,87
1070,Student_1070,53,56
1071,Student_1071,97,74
1072,Student_1072,99,74
1073,Student_1073,61,53
1074,Student_1074,98,96
1075,Student_1075,56,79
1076,Student_1076,57,51
1077,Student_1077,62,70
1078,Student_1078,98,89
1079,Student_1079,67,51
1080,Student_1080,89,98
1081,Student_1081,88,74
1082,Student_1082,75,81
1083,Student_1083,51,76
1084,Student_1084,81,54
1085,Student_1085,72,94
1086,Student_1086,51,69
1087,Student_1087,77,90
1088,Student_1088,62,52
1089,Student_1089,77,63
1090,Student_1090,51,60
1091,Student_1091,57,88
1092,Student_1092,77,74
1093,Student_1093,55,57
1094,Student_1094,82,63
1095,Student_1095,91,89
1096,Student_1096,97,92
1097,Student_1097,65,53
1098,Student_1098,69,71
1099,Student_1099,79,84
1100,Student_1100,89,86
1101,Student_1101,56,96
1102,Student_1102,93,79
1103,Student_1103,67,85
1104,Student_1104,73,81
1105,Student_1105,79,86
1106,Student_1106,71,55
1107,Student_1107,94,99
1108,Student_1108,65,94
1109,Student_1109,53,86
1110,Student_1110,89,95
1111,Student_1111,97,51
1112,Student_1112,70,99
1113,Student_1113,87,69
1114,Student_1114,70,91
1115,Student_1115,90,88
1116,Student_1116,81,60
1117,Student_1117,96,76
1118,Student_1118,61,64
1119,Student_1119,64,70
1120,Student_1120,76,62
1121,Student_1121,85,75
1122,Student_1122,82,55
1123,Student_1123,93,57
1124,Student_1124,87,96
1125,Student_1125,68,56
1126,Student_1126,94,55
1127,Student_1127,55,74
1128,Student_1128,59,53
1129,Student_1129,63,97
1130,Student_1130,55,72
1131,Student_1131,84,52
1132,Student_1132,66,97
1133,Student_1133,92,81
1134,Student_1134,69,73
1135,Student_1135,56,67
1136,Student_1136,79,72
1137,Student_1137,61,53
1138,Student_1138,77,87
1139,Student_1139,55,79
1140,Student_1140,69,66
1141,Student_1141,53,58
1142,Student_1142,73,84
1143,Student_1143,90,97
1144,Student_1144,94,94
1145,Student_1145,100,70
1146,Student_1146,70,64
1147,Student_1147,56,55
1148,Student_1148,81,53
1149,Student_1149,84,76
1150,Student_1150,70,52
1151,Student_1151,70,100
1152,Student_1152,71,96
1153,Student_1153,82,87
1154,Student_1154,94,50
1155,Student_1155,91,81
1156,Student_1156,55,93
1157,Student_1157,53,58
1158,Student_1158,77,94
1159,Student_1159,92,54
1160,Student_1160,85,83
1161,Student_1161,64,71
1162,Student_1162,80,87
1163,Student_1163,98,73
1164,Student_1164,76,93
1165,Student_1165,93,75
1166,Student_1166,95,61
1167,Student_1167,99,96
1168,Student_1168,71,64
1169,Student_1169,68,90
1170,Student_1170,93,52
1171,Student_1171,82,78
1172,Student_1172,94,73
1173,Student_1173,65,86
1174,Student_1174,65,64
1175,Student_1175,56,62
1176,Student_1176,88,96
1177,Student_1177,55,52
1178,Student_1178,60,74
1179,Student_1179,58,99
1180,Student_1180,71,65
1181,Student_1181,54,71
1182,Student_1182,77,76
1183,Student_1183,80,54
1184,Student_1184,63,55
1185,Student_1185,82,95
1186,Student_1186,75,70
1187,Student_1187,89,95
1188,Student_1188,89,89
1189,Student_1189,91,87
1190,Student_1190,64,77
1191,Student_1191,52,64
1192,Student_1192,62,81
1193,Student_1193,75,89
1194,Student_1194,76,64
1195,Student_1195,82,87
1196,Student_1196,75,51
1197,Student_1197,64,96
1198,Student_1198,95,95
1199,Student_1199,51,66
1200,Student_1200,78,82
1201,Student_1201,98,100
1202,Student_1202,77,95
1203,Student_1203,97,77
1204,Student_1204,69,62
1205,Student_1205,85,75
1206,Student_1206,50,85
1207,Student_1207,97,66
1208,Student_1208,56,60
1209,Student_1209,52,96
1210,Student_1210,96,67
1211,Student_1211,89,86
1212,Student_1212,63,74
1213,Student_1213,99,64
1214,Student_1214,62,93
1215,Student_1215,63,93
1216,Student_1216,91,52
1217,Student_1217,78,85
1218,Student_1218,61,52
1219,Student_1219,58,62
1220,Student_1220,79,98
1221,Student_1221,73,88
1222,Student_1222,63,65
1223,Student_1223,64,91
1224,Student_1224,93,54
1225,Student_1225,89,57
1226,Student_1226,96,97
1227,Student_1227,93,83
1228,Student_1228,78,83
1229,Student_1229,75,81
